time,apparent_temperature_max (°F),max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),mean_temperature,date,pm25,city,pm25_lag_1,pm25_rolling_3,pm25_rolling_7
2022-10-10,83.2,80.8,81,16.5,0.0,68.0,2022-10-10,33.762499999999996,LA,48.96666666666667,41.583333333333336,38.742261904761904
2022-10-11,82.8,81.2,80,17.2,0.0,68.3,2022-10-11,31.666666666666668,LA,33.762499999999996,43.820833333333326,39.77380952380952
2022-10-12,81.5,79.7,79,17.4,0.1,69.1,2022-10-12,27.2375,LA,31.666666666666668,38.13194444444444,38.06071428571429
2022-10-13,80.6,79.6,80,16.9,0.0,68.1,2022-10-13,24.020833333333332,LA,27.2375,30.888888888888886,35.513690476190476
2022-10-14,79.9,78.8,78,17.6,0.0,67.4,2022-10-14,25.733333333333334,LA,24.020833333333332,27.641666666666666,34.49107142857142
2022-10-15,75.3,74.6,74,9.5,1.2,67.3,2022-10-15,15.1625,LA,25.733333333333334,25.663888888888888,34.302976190476194
2022-10-16,75.9,76.2,78,18.4,0.0,66.3,2022-10-16,13.879166666666668,LA,15.1625,21.63888888888889,29.507142857142856
2022-10-17,83.0,81.2,76,15.7,0.0,67.2,2022-10-17,24.645833333333332,LA,13.879166666666668,18.258333333333336,24.494642857142853
2022-10-18,89.2,91.2,59,15.8,0.0,73.5,2022-10-18,36.354166666666664,LA,24.645833333333332,17.895833333333332,23.192261904761903
2022-10-19,92.8,95.9,29,21.4,0.0,79.4,2022-10-19,29.733333333333334,LA,36.354166666666664,24.959722222222222,23.86190476190476
2022-10-20,87.4,91.1,36,19.5,0.0,77.6,2022-10-20,34.12916666666667,LA,29.733333333333334,30.244444444444444,24.218452380952378
2022-10-21,82.9,82.5,74,13.3,0.0,69.1,2022-10-21,42.5,LA,34.12916666666667,33.40555555555556,25.6625
2022-10-22,68.4,70.4,77,16.6,1.2,65.3,2022-10-22,18.591666666666665,LA,42.5,35.45416666666667,28.057738095238097
2022-10-23,71.3,77.8,65,25.5,0.1,63.5,2022-10-23,16.566666666666666,LA,18.591666666666665,31.740277777777777,28.547619047619047
2022-10-24,70.1,76.4,35,14.4,0.0,61.7,2022-10-24,16.979166666666668,LA,16.566666666666666,25.88611111111111,28.93154761904762
2022-10-25,74.3,80.4,29,16.5,0.0,64.9,2022-10-25,29.2625,LA,16.979166666666668,17.379166666666666,27.836309523809522
2022-10-26,71.9,75.0,63,17.4,0.0,62.8,2022-10-26,43.90833333333333,LA,29.2625,20.93611111111111,26.823214285714283
2022-10-27,75.8,77.5,68,14.7,0.0,64.8,2022-10-27,31.491666666666664,LA,43.90833333333333,30.05,28.848214285714285
2022-10-28,75.6,79.3,52,16.3,0.0,65.1,2022-10-28,33.733333333333334,LA,31.491666666666664,34.887499999999996,28.471428571428568
2022-10-29,75.6,80.2,45,16.8,0.0,64.5,2022-10-29,41.03333333333333,LA,33.733333333333334,36.37777777777778,27.219047619047615
2022-10-30,77.4,82.4,29,15.5,0.0,67.1,2022-10-30,31.9625,LA,41.03333333333333,35.419444444444444,30.424999999999994
2022-10-31,78.1,81.2,37,14.3,0.0,67.4,2022-10-31,42.208333333333336,LA,31.9625,35.576388888888886,32.624404761904756
2022-11-01,69.8,73.0,76,18.7,0.0,64.8,2022-11-01,51.208333333333336,LA,42.208333333333336,38.40138888888889,36.22857142857143
2022-11-02,64.2,70.2,60,19.7,11.7,61.6,2022-11-02,9.808333333333334,LA,51.208333333333336,41.793055555555554,39.36369047619047
2022-11-03,54.3,65.9,40,31.4,0.0,56.7,2022-11-03,5.133333333333334,LA,9.808333333333334,34.40833333333333,34.49226190476191
2022-11-04,63.9,70.4,40,15.5,0.0,56.3,2022-11-04,15.266666666666666,LA,5.133333333333334,22.05,30.726785714285715
2022-11-05,67.0,73.2,44,13.9,0.0,59.0,2022-11-05,33.21666666666667,LA,15.266666666666666,10.069444444444445,28.088690476190475
2022-11-06,68.0,71.0,61,13.4,0.0,59.9,2022-11-06,32.725,LA,33.21666666666667,17.872222222222224,26.97202380952381
2022-11-07,62.8,63.0,88,18.5,5.6,59.8,2022-11-07,14.758333333333333,LA,32.725,27.069444444444446,27.080952380952386
2022-11-08,61.1,65.2,90,34.9,27.5,57.5,2022-11-08,9.05,LA,14.758333333333333,26.900000000000002,23.15952380952381
2022-11-09,58.0,63.2,79,23.1,3.8,53.1,2022-11-09,11.075,LA,9.05,18.844444444444445,17.136904761904763
2022-11-10,62.4,66.3,65,8.8,0.0,52.2,2022-11-10,19.45,LA,11.075,11.627777777777778,17.317857142857143
2022-11-11,63.4,67.7,57,10.1,0.0,52.8,2022-11-11,19.508333333333333,LA,19.45,13.191666666666668,19.363095238095237
2022-11-12,63.3,66.7,53,11.7,0.0,54.5,2022-11-12,26.95,LA,19.508333333333333,16.677777777777777,19.96904761904762
2022-11-13,63.1,66.9,65,17.4,0.0,53.0,2022-11-13,30.229166666666668,LA,26.95,21.969444444444445,19.073809523809523
2022-11-14,64.2,68.9,57,9.7,0.0,54.0,2022-11-14,24.491666666666664,LA,30.229166666666668,25.5625,18.717261904761905
2022-11-15,64.5,70.6,47,14.7,0.0,56.2,2022-11-15,23.104166666666668,LA,24.491666666666664,27.22361111111111,20.107738095238094
2022-11-16,66.2,73.1,36,13.2,0.0,58.5,2022-11-16,11.620833333333332,LA,23.104166666666668,25.941666666666663,22.115476190476187
2022-11-17,68.9,75.4,45,15.0,0.0,55.0,2022-11-17,20.029166666666665,LA,11.620833333333332,19.738888888888887,22.19345238095238
2022-11-18,66.7,70.1,46,13.9,0.0,57.4,2022-11-18,35.670833333333334,LA,20.029166666666665,18.251388888888886,22.276190476190475
2022-11-19,68.7,74.8,29,14.3,0.0,58.9,2022-11-19,16.254166666666666,LA,35.670833333333334,22.440277777777776,24.58511904761904
