time,apparent_temperature_max (°F),max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),mean_temperature,date,pm25,city,pm25_lag_1,pm25_rolling_3,pm25_rolling_7
2022-10-27,67.1,71.7,39,10.4,0.0,57.5,2022-10-27,9.270833333333334,Sacramento,10.433333333333334,8.920833333333333,9.87440476190476
2022-10-28,67.6,72.2,48,8.5,0.0,58.0,2022-10-28,14.154166666666669,Sacramento,9.270833333333334,10.534722222222223,8.560714285714285
2022-10-29,70.5,76.4,56,8.4,0.0,58.8,2022-10-29,15.466666666666669,Sacramento,14.154166666666669,11.286111111111111,8.242261904761905
2022-10-30,72.2,75.0,69,9.9,0.0,57.8,2022-10-30,16.020833333333332,Sacramento,15.466666666666669,12.96388888888889,9.777976190476192
2022-10-31,69.0,70.9,69,11.2,0.0,58.6,2022-10-31,20.8375,Sacramento,16.020833333333332,15.213888888888889,11.667857142857143
2022-11-01,55.8,60.1,83,22.1,7.2,54.2,2022-11-01,5.779166666666666,Sacramento,20.8375,17.441666666666666,14.011904761904763
2022-11-02,54.6,59.4,79,15.2,2.8,50.0,2022-11-02,6.2625,Sacramento,5.779166666666666,14.212499999999999,13.1375
2022-11-03,52.1,62.2,64,18.7,0.0,48.0,2022-11-03,6.016666666666667,Sacramento,6.2625,10.95972222222222,12.541666666666668
2022-11-04,58.0,62.8,55,10.0,0.0,50.6,2022-11-04,14.65,Sacramento,6.016666666666667,6.019444444444445,12.076785714285714
2022-11-05,57.4,60.2,76,15.7,0.3,55.1,2022-11-05,8.408333333333333,Sacramento,14.65,8.97638888888889,12.147619047619047
2022-11-06,56.5,64.1,71,21.3,0.0,56.5,2022-11-06,6.720833333333334,Sacramento,8.408333333333333,9.691666666666665,11.139285714285714
2022-11-07,53.7,60.4,75,26.0,7.6,52.2,2022-11-07,7.125,Sacramento,6.720833333333334,9.926388888888889,9.810714285714285
2022-11-08,46.9,51.1,87,23.9,28.0,47.9,2022-11-08,5.5125,Sacramento,7.125,7.418055555555555,7.851785714285714
2022-11-09,52.7,56.4,84,14.2,0.7,47.8,2022-11-09,6.95,Sacramento,5.5125,6.452777777777778,7.813690476190476
2022-11-10,53.8,59.2,82,11.5,0.0,46.3,2022-11-10,8.658333333333333,Sacramento,6.95,6.529166666666666,7.911904761904762
2022-11-11,54.4,57.4,77,7.8,0.0,46.3,2022-11-11,17.912499999999998,Sacramento,8.658333333333333,7.040277777777778,8.289285714285715
2022-11-12,55.1,58.8,80,10.4,2.3,48.8,2022-11-12,15.395833333333334,Sacramento,17.912499999999998,11.173611111111109,8.755357142857141
2022-11-13,53.3,60.1,68,18.8,0.0,47.8,2022-11-13,6.6000000000000005,Sacramento,15.395833333333334,13.988888888888889,9.753571428571428
2022-11-14,53.7,58.2,77,10.1,0.0,44.6,2022-11-14,12.3875,Sacramento,6.6000000000000005,13.302777777777779,9.736309523809524
2022-11-15,59.2,66.6,58,19.2,0.0,50.9,2022-11-15,8.820833333333333,Sacramento,12.3875,11.46111111111111,10.488095238095237
2022-11-16,58.9,62.3,57,14.2,0.0,49.5,2022-11-16,11.775,Sacramento,8.820833333333333,9.269444444444444,10.960714285714285
